px,py,pz,vx,vy,vz,q1,q2,q3,q4,GPS_px,GPS_py,GPS_pz,IMU_vx,IMU_vy,IMU_vz,drone_id,time
0.05,-0.03,0.02,0.5,-0.3,0.2,1,0,0,0,0.033346797,-0.020528066,-0.009445314,0.531143843,-0.274530308,0.186188547,1,0
0.100052376,-0.059974859,0.040025141,0.500523764,-0.299748592,0.20025141,0.999999991,0.0001134,6.55E-05,0,0.101555479,-0.0265786,0.003203229,0.498219026,-0.294176132,0.20988661,1,0.1
0.150157123,-0.089924579,0.060075422,0.50104747,-0.299497201,0.200502809,0.999999966,0.000226801,0.000130943,0,0.170237986,-0.136060308,0.105295211,0.514173492,-0.285047028,0.157356994,1,0.2
0.20031423,-0.119849164,0.080150841,0.501571061,-0.299245846,0.200754189,0.999999923,0.000340201,0.000196415,0,0.28252155,-0.185050364,0.074390713,0.476080776,-0.309968564,0.20923708,1,0.3
0.250523678,-0.149748618,0.100251395,0.50209448,-0.298994543,0.201005539,0.999999863,0.000453601,0.000261887,0,0.287610733,-0.170593713,0.03151479,0.504293865,-0.311833464,0.234259446,1,0.4
0.300785445,-0.179622949,0.12037708,0.50261767,-0.298743312,0.201256849,0.999999786,0.000567001,0.000327358,0,0.282036686,-0.091416231,0.103306532,0.469775238,-0.310742782,0.201426972,1,0.5
0.351099502,-0.209472166,0.140527891,0.503140571,-0.298492168,0.20150811,0.999999691,0.000680401,0.00039283,0,0.431670854,-0.212535013,0.136707232,0.517713514,-0.283743317,0.205380741,1,0.6
0.401465815,-0.239296279,0.160703822,0.503663129,-0.298241131,0.201759311,0.99999958,0.000793802,0.000458302,0,0.419426525,-0.202657443,0.106384199,0.519438245,-0.282381528,0.186207502,1,0.7
0.451884343,-0.269095301,0.180904866,0.504185284,-0.297990217,0.202010442,0.999999451,0.000907202,0.000523773,0,0.486205825,-0.285886125,0.240129326,0.47091155,-0.338424772,0.182124793,1,0.8
0.502355041,-0.298869245,0.201131015,0.50470698,-0.297739444,0.202261494,0.999999306,0.001020602,0.000589245,0,0.535223131,-0.319997918,0.183791471,0.483625535,-0.320237766,0.18420404,1,0.9
0.552877857,-0.328618128,0.221382261,0.50522816,-0.29748883,0.202512457,0.999999143,0.001134002,0.000654717,0,0.462994485,-0.253213428,0.227140321,0.534123204,-0.268336509,0.222334179,1,1
0.603452733,-0.358341967,0.241658593,0.505748765,-0.297238392,0.202763321,0.999998963,0.001247402,0.000720188,0,0.594567958,-0.365946958,0.236727787,0.504176045,-0.310978202,0.166301624,1,1.1
0.654079607,-0.388040782,0.261960001,0.50626874,-0.296988148,0.203014075,0.999998765,0.001360803,0.00078566,0,0.642602336,-0.406253326,0.326210712,0.512257078,-0.28050625,0.207189097,1,1.2
0.70475841,-0.417714594,0.282286472,0.506788027,-0.296738116,0.20326471,0.999998551,0.001474203,0.000851131,0,0.691106033,-0.336238503,0.250939565,0.489148459,-0.307441212,0.186535779,1,1.3
0.755489067,-0.447363425,0.302637993,0.507306569,-0.296488312,0.203515217,0.99999832,0.001587603,0.000916603,0,0.773754656,-0.413753658,0.329636114,0.523023889,-0.246698745,0.219034758,1,1.4
0.806271498,-0.476987301,0.323014552,0.50782431,-0.296238756,0.203765584,0.999998071,0.001701003,0.000982074,0,0.840877169,-0.527600124,0.361770838,0.49911161,-0.295486806,0.212689393,1,1.5
0.857105617,-0.506586247,0.343416132,0.508341192,-0.295989463,0.204015803,0.999997805,0.001814403,0.001047546,0,0.879692827,-0.606542074,0.403504506,0.514402399,-0.287017393,0.182231133,1,1.6
0.907991333,-0.536160292,0.363842718,0.508857158,-0.295740453,0.204265863,0.999997522,0.001927803,0.001113017,0,0.924264362,-0.601901363,0.404041567,0.50575328,-0.307399318,0.2383377,1,1.7
0.958928548,-0.565709466,0.384294294,0.509372153,-0.295491741,0.204515754,0.999997222,0.002041203,0.001178489,0,1.003525542,-0.573177157,0.416950718,0.533686824,-0.27347811,0.197839712,1,1.8
1.00991716,-0.595233801,0.40477084,0.509886119,-0.295243346,0.204765467,0.999996905,0.002154603,0.00124396,0,0.984486076,-0.64326697,0.420300578,0.500133256,-0.29376409,0.205980773,1,1.9
1.06095706,-0.624733329,0.42527234,0.510399,-0.294995285,0.205014992,0.999996571,0.002268003,0.001309432,0,1.107147302,-0.528904449,0.450276632,0.508929969,-0.280585707,0.190061363,1,2
1.112048134,-0.654208087,0.445798771,0.51091074,-0.294747576,0.205264319,0.999996219,0.002381402,0.001374903,0,1.101843865,-0.677927801,0.410481462,0.498201867,-0.289299431,0.175430868,1,2.1
1.163190263,-0.683658111,0.466350115,0.511421283,-0.294500235,0.205513438,0.999995851,0.002494802,0.001440375,0,1.168849049,-0.661726872,0.389418425,0.519677055,-0.302321946,0.201697188,1,2.2
1.21438332,-0.713083439,0.486926349,0.511930573,-0.294253281,0.205762339,0.999995465,0.002608202,0.001505846,0,1.223833562,-0.800392096,0.518040643,0.489823254,-0.303166621,0.197780978,1,2.3
1.265627175,-0.742484112,0.50752745,0.512438553,-0.29400673,0.206011012,0.999995062,0.002721602,0.001571318,0,1.241953234,-0.766997489,0.484673475,0.496139813,-0.325145275,0.205056013,1,2.4
1.316921692,-0.771860172,0.528153395,0.512945168,-0.2937606,0.206259448,0.999994642,0.002835001,0.001636789,0,1.369854279,-0.821053074,0.477641696,0.54510009,-0.277389222,0.248199266,1,2.5
1.368266728,-0.801211662,0.548804159,0.513450363,-0.293514908,0.206507636,0.999994205,0.002948401,0.00170226,0,1.253779977,-0.773530177,0.578918841,0.484036496,-0.281598189,0.234677169,1,2.6
1.419662136,-0.83053863,0.569479716,0.513954082,-0.293269672,0.206755568,0.99999375,0.003061801,0.001767731,0,1.401698706,-0.844630858,0.654759887,0.569755157,-0.311737381,0.207512088,1,2.7
1.471107763,-0.85984112,0.590180039,0.51445627,-0.293024909,0.207003233,0.999993279,0.0031752,0.001833203,0,1.485585772,-0.836089635,0.587521567,0.499332732,-0.287133761,0.231161292,1,2.8
1.522603451,-0.889119184,0.610905101,0.514956871,-0.292780635,0.207250621,0.99999279,0.0032886,0.001898674,0,1.626008273,-0.893188099,0.564102597,0.518730216,-0.273786444,0.21406471,1,2.9
1.574149034,-0.918372871,0.631654873,0.515455831,-0.292536868,0.207497722,0.999992284,0.003401999,0.001964145,0,1.589598691,-0.906284399,0.627380735,0.538883191,-0.252754486,0.144207187,1,3
1.625744343,-0.947602233,0.652429326,0.515953095,-0.292293626,0.207744527,0.999991761,0.003515398,0.002029616,0,1.611758648,-0.933169946,0.68586037,0.504226942,-0.269468622,0.238788103,1,3.1
1.677389204,-0.976807326,0.673228429,0.516448608,-0.292050924,0.207991027,0.999991221,0.003628798,0.002095087,0,1.634110532,-0.909983557,0.592492125,0.542386264,-0.299185925,0.241743655,1,3.2
1.729083436,-1.005988204,0.69405215,0.516942317,-0.291808781,0.208237211,0.999990664,0.003742197,0.002160558,0,1.683868747,-0.876074489,0.781710482,0.517094611,-0.32445856,0.217763893,1,3.3
1.780826852,-1.035144925,0.714900457,0.517434166,-0.291567214,0.208483069,0.99999009,0.003855596,0.002226029,0,1.758532606,-0.985635425,0.702314942,0.535203851,-0.329367863,0.209699937,1,3.4
1.832619262,-1.064277549,0.735773316,0.517924102,-0.291326238,0.208728592,0.999989498,0.003968995,0.0022915,0,1.860327447,-1.117017667,0.791660227,0.511103811,-0.292890286,0.241300672,1,3.5
1.88446047,-1.093386136,0.756670693,0.518412071,-0.291085872,0.20897377,0.999988889,0.004082394,0.002356971,0,1.910155506,-1.107434158,0.672491687,0.516061264,-0.279205474,0.22846246,1,3.6
1.936350272,-1.122470749,0.777592552,0.51889802,-0.290846132,0.209218594,0.999988263,0.004195793,0.002422442,0,1.866445418,-1.15020357,0.71548738,0.506162774,-0.278007532,0.251012228,1,3.7
1.988288461,-1.151531453,0.798538858,0.519381895,-0.290607034,0.209463054,0.99998762,0.004309192,0.002487913,0,1.970580617,-1.095667889,0.820080225,0.500495597,-0.314856953,0.203959239,1,3.8
2.040274825,-1.180568313,0.819509572,0.519863643,-0.290368596,0.20970714,0.99998696,0.004422591,0.002553384,0,2.027307606,-1.176608092,0.888758838,0.516581834,-0.285440629,0.201575603,1,3.9
2.092309147,-1.209581396,0.840504656,0.520343212,-0.290130835,0.209950842,0.999986283,0.00453599,0.002618855,0,2.089795805,-1.25165075,0.891645249,0.535086363,-0.296581538,0.23630009,1,4
2.144391201,-1.238570773,0.861524071,0.520820548,-0.289893767,0.210194152,0.999985589,0.004649388,0.002684326,0,2.2293213,-1.297102697,0.928046175,0.505630489,-0.28744328,0.223031378,1,4.1
2.196520761,-1.267536514,0.882567777,0.521295599,-0.289657408,0.210437058,0.999984877,0.004762787,0.002749796,0,2.204905681,-1.339137636,0.953012001,0.510714943,-0.273729994,0.211139319,1,4.2
2.248697593,-1.296478691,0.903635732,0.521768314,-0.289421776,0.210679552,0.999984148,0.004876185,0.002815267,0,2.21326497,-1.293194191,0.881394819,0.524366934,-0.282406354,0.233314905,1,4.3
2.300921457,-1.32539738,0.924727895,0.52223864,-0.289186887,0.210921625,0.999983403,0.004989584,0.002880738,0,2.269205018,-1.407102194,0.919077407,0.522275979,-0.291885073,0.208130625,1,4.4
2.353192109,-1.354292656,0.945844221,0.522706525,-0.288952757,0.211163266,0.99998264,0.005102982,0.002946208,0,2.375184612,-1.351637214,0.884392789,0.536317273,-0.29414249,0.228890123,1,4.5
2.405509301,-1.383164596,0.966984668,0.523171919,-0.288719403,0.211404466,0.999981859,0.00521638,0.003011679,0,2.317916309,-1.373191344,0.987916968,0.541307821,-0.285518105,0.211026711,1,4.6
2.457872778,-1.41201328,0.988149189,0.52363477,-0.288486842,0.211645215,0.999981062,0.005329779,0.003077149,0,2.394226125,-1.566308954,0.988587494,0.518270701,-0.267528308,0.237464188,1,4.7
2.510282281,-1.440838789,1.00933774,0.524095027,-0.288255088,0.211885504,0.999980248,0.005443177,0.00314262,0,2.58560811,-1.340462067,0.961388737,0.512658236,-0.28243425,0.244230345,1,4.8
2.562737545,-1.469641205,1.030550272,0.524552641,-0.28802416,0.212125324,0.999979416,0.005556575,0.00320809,0,2.559090042,-1.45341615,0.949221546,0.511837885,-0.275380617,0.18782729,1,4.9
2.615238301,-1.498420612,1.051786738,0.52500756,-0.287794073,0.212364665,0.999978567,0.005669973,0.00327356,0,2.602488291,-1.511740553,1.0900158,0.477252633,-0.280593321,0.227001976,1,5
2.667784274,-1.527177096,1.07304709,0.525459735,-0.287564843,0.212603517,0.999977702,0.00578337,0.00333903,0,2.702437184,-1.575158689,1.078091657,0.524970985,-0.251786667,0.191025037,1,5.1
2.720375186,-1.555910745,1.094331277,0.525909116,-0.287336486,0.212841872,0.999976818,0.005896768,0.003404501,0,2.730260158,-1.602190718,1.003822894,0.546834596,-0.300684521,0.189117681,1,5.2
2.773010751,-1.584621647,1.115639249,0.526355654,-0.287109019,0.213079719,0.999975918,0.006010166,0.003469971,0,2.776723368,-1.577044662,1.130460406,0.532421161,-0.262645751,0.192022552,1,5.3
2.825690681,-1.613309893,1.136970954,0.5267993,-0.286882457,0.213317049,0.999975001,0.006123563,0.003535441,0,2.789637696,-1.615120058,1.06213878,0.509156962,-0.2673849,0.198372232,1,5.4
2.878414682,-1.641975574,1.158326339,0.527240005,-0.286656816,0.213553853,0.999974067,0.00623696,0.003600911,0,2.919958592,-1.675018615,1.153002469,0.486544655,-0.273443933,0.226306129,1,5.5
2.931182454,-1.670618786,1.179705352,0.52767772,-0.286432113,0.213790122,0.999973115,0.006350358,0.003666381,0,2.839351634,-1.700396096,1.129593729,0.526811879,-0.290320961,0.19527774,1,5.6
2.983993694,-1.699239622,1.201107936,0.528112399,-0.286208362,0.214025846,0.999972146,0.006463755,0.003731851,0,3.017605809,-1.745055897,1.180578656,0.488582011,-0.286631302,0.194093595,1,5.7
3.036848093,-1.72783818,1.222534038,0.528543993,-0.28598558,0.214261016,0.99997116,0.006577152,0.00379732,0,3.094953881,-1.713820499,1.23681472,0.518754319,-0.279015382,0.232923583,1,5.8
