px,py,pz,vx,vy,vz,q1,q2,q3,q4,GPS_px,GPS_py,GPS_pz,IMU_vx,IMU_vy,IMU_vz
0,0,0,0.5,-0.3,0.2,1,0,0,0,-0.159643264,0.032464828,0.087161609,0.498968368,-0.307014998,0.195890305
0.05,-0.03,0.02,0.495,-0.297,0.198,1,0,0,0,0.064925357,0.102645792,-0.078315102,0.490415511,-0.303292869,0.189060144
0.0995,-0.0597,0.0398,0.49005,-0.29403,0.19602,1,0,0,0,-0.038388215,-0.271562418,0.036118876,0.476283288,-0.311083639,0.192673957
0.148505,-0.089103,0.059402,0.4851495,-0.2910897,0.1940598,1,0,0,0,0.276057958,-0.142915919,0.093698805,0.477519013,-0.298370349,0.202680319
0.19701995,-0.11821197,0.07880798,0.480298005,-0.288178803,0.192119202,1,0,0,0,0.078851812,0.04785405,0.027198874,0.49383201,-0.270458758,0.205043095
0.245049751,-0.14702985,0.0980199,0.475495025,-0.285297015,0.19019801,1,0,0,0,0.284793295,-0.268863168,0.171115891,0.481473855,-0.273290653,0.204919217
0.292599253,-0.175559552,0.117039701,0.470740075,-0.282444045,0.18829603,1,0,0,0,0.19392401,-0.169301436,0.179608255,0.471928234,-0.281816493,0.187792996
0.33967326,-0.203803956,0.135869304,0.466032674,-0.279619604,0.18641307,1,0,0,0,0.421201127,-0.208029068,0.147702673,0.471008649,-0.278747942,0.182556893
0.386276528,-0.231765917,0.154510611,0.461372347,-0.276823408,0.184548939,1,0,0,0,0.401360508,-0.16890109,0.270906989,0.466371865,-0.284696555,0.17103138
0.432413763,-0.259448258,0.172965505,0.456758624,-0.274055174,0.182703449,1,0,0,0,0.554743891,-0.234082785,0.228941961,0.46750988,-0.26271218,0.168101213
0.478089625,-0.286853775,0.19123585,0.452191038,-0.271314623,0.180876415,1,0,0,0,0.468840481,-0.342646602,0.259468497,0.462364855,-0.274859588,0.205065309
0.523308729,-0.313985237,0.209323491,0.447669127,-0.268601476,0.179067651,1,0,0,0,0.498597357,-0.167147247,0.137975243,0.457023509,-0.276937088,0.160059507
0.568075641,-0.340845385,0.227230257,0.443192436,-0.265915462,0.177276974,1,0,0,0,0.734304561,-0.247656395,0.257056663,0.443317091,-0.265886498,0.1727386
0.612394885,-0.367436931,0.244957954,0.438760511,-0.263256307,0.175504205,1,0,0,0,0.644129244,-0.525628673,0.196348402,0.424959983,-0.259020217,0.169036879
0.656270936,-0.393762562,0.262508374,0.434372906,-0.260623744,0.173749163,1,0,0,0,0.720620513,-0.465130485,0.30379564,0.449811862,-0.262641193,0.168272576
0.699708227,-0.419824936,0.279883291,0.430029177,-0.258017506,0.172011671,1,0,0,0,0.671916208,-0.477046154,0.195609214,0.426268261,-0.250801542,0.154998454
0.742711145,-0.445626687,0.297084458,0.425728886,-0.255437331,0.170291554,1,0,0,0,0.706537648,-0.30048735,0.184301001,0.428080809,-0.253519988,0.188687609
0.785284033,-0.47117042,0.314113613,0.421471597,-0.252882958,0.168588639,1,0,0,0,0.991884645,-0.432736699,0.4655053,0.432343489,-0.252575638,0.165325378
0.827431193,-0.496458716,0.330972477,0.417256881,-0.250354128,0.166902752,1,0,0,0,0.940164909,-0.50449821,0.332279955,0.414034881,-0.243745223,0.179277964
0.869156881,-0.521494128,0.347662752,0.413084312,-0.247850587,0.165233725,1,0,0,0,0.791297527,-0.564387861,0.400211779,0.427277186,-0.250372664,0.159202246
0.910465312,-0.546279187,0.364186125,0.408953469,-0.245372081,0.163581388,1,0,0,0,0.895513348,-0.56707375,0.355244274,0.405098927,-0.257690648,0.169655952
0.951360659,-0.570816395,0.380544264,0.404863934,-0.24291836,0.161945574,1,0,0,0,1.064954989,-0.489402614,0.282234513,0.413420615,-0.245486083,0.1577029
0.991847052,-0.595108231,0.396738821,0.400815295,-0.240489177,0.160326118,1,0,0,0,0.956122052,-0.665592086,0.419244783,0.375511945,-0.240441408,0.155377551
1.031928582,-0.619157149,0.412771433,0.396807142,-0.238084285,0.158722857,1,0,0,0,0.832391353,-0.721464874,0.382659296,0.416352841,-0.243020659,0.178893762
1.071609296,-0.642965578,0.428643718,0.39283907,-0.235703442,0.157135628,1,0,0,0,0.964173487,-0.522469962,0.297899058,0.398832616,-0.240909601,0.161106469
1.110893203,-0.666535922,0.444357281,0.38891068,-0.233346408,0.155564272,1,0,0,0,1.125731443,-0.675789551,0.459595237,0.400029401,-0.236197605,0.15527507
1.149784271,-0.689870563,0.459913708,0.385021573,-0.231012944,0.154008629,1,0,0,0,1.235836475,-0.844174254,0.550875176,0.372123667,-0.238442561,0.136901631
1.188286428,-0.712971857,0.475314571,0.381171357,-0.228702814,0.152468543,1,0,0,0,1.122306108,-0.818555808,0.391569881,0.379951604,-0.240476395,0.169757556
1.226403564,-0.735842138,0.490561426,0.377359644,-0.226415786,0.150943857,1,0,0,0,1.289396236,-0.585924106,0.573279306,0.366128874,-0.25190263,0.140750564
1.264139528,-0.758483717,0.505655811,0.373586047,-0.224151628,0.149434419,1,0,0,0,1.29563885,-0.777384174,0.42175002,0.378655687,-0.222086796,0.176257917
1.301498133,-0.78089888,0.520599253,0.369850187,-0.221910112,0.147940075,1,0,0,0,1.115651217,-0.784424535,0.455353672,0.359436679,-0.229878116,0.152494905
1.338483152,-0.803089891,0.535393261,0.366151685,-0.219691011,0.146460674,1,0,0,0,1.344380645,-0.821433957,0.425099025,0.371964737,-0.226211092,0.142493288
